"CCU","Description","Description Group","Supplier","Ownership","Department","Last Seen","Last Seen Date","Test Expiry","Pressure Test Expiry","Disposal Date","Reporting Period"
"500751","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500752","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500756","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"500758","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501289","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"501461","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"501801","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"501875","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501876","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501882","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501883","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501884","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501885","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501886","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501887","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501888","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501889","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501890","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501893","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501895","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501896","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501897","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501898","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501899","1300L IBC W/Fill Tube","1300L IBC W/Fill Tube","Gorgon Owned","Gorgon Ops","",,"","","2020-04-01","","2022-06-24"
"501946","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"502280","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"502378","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5024499","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"502453","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"502500","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"502681","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"502750","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"503646","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"503781","CROW","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5211415","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5260380","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5480522","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5515543","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5631570","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5632435","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5635136","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5644293","40FT WORKSHOP","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5644333","40FT WORKSHOP","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5651380","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5681800","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5697615","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"5711989","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"611563","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"6374861","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Sadleirs Resources","2023-04-12","","","2023-03-08","2022-11-23"
"6377259","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"7009946","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"7010119","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"7118063","40FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
"7183251","20FT GENERAL PURPOSE","","Wheatstone Owned","","","Wheatstone Downstream","2022-06-24","","","","2022-11-23"
